Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,52077,21419,52076,2247,0,19172,24593,26,0,84,game278
solved,1865826,654404,1865737,46147,0,608257,786433,89,89,3068,game279
timed-out,47600666,11685068,47600628,3853175,0,7831893,12582917,74,38,60000,game28
solved,2388,426,2276,150,0,276,389,112,112,2,game280
solved,957,549,857,53,0,496,769,100,100,2,game281
unsolvable,11610209,4390334,11610208,2594132,0,1796202,3145739,95,0,14101,game282
solved,197796,49169,197699,9225,0,39944,49157,97,97,261,game283
solved,451,309,357,40,0,269,389,94,94,0,game284
solved,154618,49653,154529,6770,0,42883,49157,89,89,212,game285
solved,237,154,150,55,0,99,193,87,87,0,game286
solved,22718,8047,22629,3729,0,4318,6151,89,89,25,game287
unsolvable,41887,17548,41886,436,0,17112,24593,23,0,68,game288
solved,2505,1212,2405,254,0,958,1543,100,100,4,game289
solved,3694,1160,3599,87,0,1073,1543,95,95,5,game29
timed-out,34180607,7023507,34180583,293923,0,6729584,12582917,56,24,60000,game290
unsolvable,31347507,8113664,31347506,1083259,0,7030405,12582917,57,0,46760,game291
solved,38780,14535,38674,1204,0,13331,24593,106,106,63,game292
solved,539258,172634,539161,44921,0,127713,196613,97,97,745,game293
unsolvable,569,304,568,0,0,304,389,12,0,0,game294
unsolvable,19,19,18,2,0,17,53,6,0,0,game295
solved,386,185,304,49,0,136,193,82,82,0,game296
solved,16628,5270,16539,481,0,4789,6151,89,89,21,game297
unsolvable,3152994,1081001,3152993,253583,0,827418,1572869,52,0,3902,game298
unsolvable,49,33,48,5,0,28,53,6,0,0,game299
solved,107,97,18,40,0,57,97,89,89,0,game3
solved,335,202,249,31,0,171,193,86,86,0,game30
solved,1206,552,1107,76,0,476,769,99,99,1,game300
unsolvable,31478,16512,31477,8642,0,7870,12289,29,0,33,game301
solved,43028,9626,42943,33,0,9593,12289,85,85,53,game302
unsolvable,2595,1260,2594,0,0,1260,1543,14,0,4,game303
solved,28961,9472,28858,516,0,8956,12289,103,103,39,game304
unsolvable,1459,780,1458,223,0,557,769,9,0,2,game305
solved,152,96,67,31,0,65,97,85,85,0,game306
unsolvable,13,12,12,2,0,10,53,4,0,0,game307
unsolvable,334015,148649,334014,23660,0,124989,196613,19,0,501,game308
solved,34810,15871,34718,669,0,15202,24593,92,92,52,game309
solved,6208,1187,6110,86,0,1101,1543,98,98,5,game31
solved,3040,1660,2957,206,0,1454,1543,83,83,5,game310
solved,133,110,54,31,0,79,97,79,79,0,game311
solved,918604,398718,918511,147123,0,251595,393241,93,93,1088,game312
solved,75201,29144,75115,14495,0,14649,24593,86,86,64,game313
solved,25593,11235,25521,5686,0,5549,6151,72,72,26,game314
unsolvable,35876290,10535200,35876289,2652352,0,7882848,12582917,67,0,54497,game315
solved,101,92,19,32,0,60,97,82,82,0,game316
solved,6426,3537,6333,44,0,3493,6151,93,93,13,game317
unsolvable,27079,9967,27078,1876,0,8091,12289,25,0,35,game318
solved,130,88,42,23,0,65,97,88,88,0,game319
solved,7725,2999,7630,476,0,2523,3079,95,95,11,game32
timed-out,35418772,11638734,35418751,2054845,0,9583889,12582917,38,21,60000,game320
solved,177502,43401,177422,2155,0,41246,49157,80,80,233,game321
solved,6889276,2934813,6889195,1672288,0,1262525,1572869,81,81,6969,game322
unsolvable,13,9,12,0,0,9,53,3,0,0,game323
solved,140225,47726,140139,14795,0,32931,49157,92,86,150,game324
solved,42026,16176,41938,4001,0,12175,12289,88,88,53,game325
solved,77915,18297,77832,28,0,18269,24593,83,83,80,game326
solved,63957,19456,63877,1112,0,18344,24593,118,80,74,game327
timed-out,43403933,6997680,43403849,2,0,6997678,12582917,169,84,60000,game328
unsolvable,1,1,0,0,0,1,53,0,0,0,game329
solved,154,106,58,34,0,72,97,96,96,0,game33
solved,226939,94815,226852,27576,0,67239,98317,87,87,293,game330
solved,334,132,235,32,0,100,193,99,99,0,game331
solved,172,105,74,38,0,67,97,98,98,0,game332
unsolvable,15778,9081,15777,866,0,8215,12289,21,0,26,game333
solved,348,266,261,73,0,193,193,87,87,0,game334
solved,197,108,97,39,0,69,97,100,100,0,game335
solved,138,107,40,34,0,73,97,98,98,0,game336
timed-out,40899114,10494110,40899084,1548843,0,8945267,12582917,62,30,60000,game337
solved,210332,54491,210236,12807,0,41684,49157,96,96,237,game338
solved,3587,748,3477,251,0,497,769,110,110,3,game339
solved,1738,557,1658,153,0,404,769,80,80,1,game34
solved,14246,2886,14156,618,0,2268,3079,90,90,14,game340
solved,35161,11823,35076,357,0,11466,12289,85,85,46,game341
solved,67687,25908,67601,7012,0,18896,24593,86,86,81,game342
solved,6682,1733,6592,109,0,1624,3079,90,90,7,game343
solved,292,151,201,33,0,118,193,91,91,0,game344
unsolvable,1195,513,1194,0,0,513,769,7,0,1,game345
solved,223,100,124,43,0,57,97,99,99,0,game346
unsolvable,6,6,5,1,0,5,53,3,0,0,game347
solved,68247,23245,68158,6348,0,16897,24593,89,89,76,game348
solved,1107,670,1027,43,0,627,769,80,80,1,game349
solved,127,106,45,34,0,72,97,82,82,0,game35
solved,5852308,1885119,5852221,439699,0,1445420,1572869,87,87,7847,game350
unsolvable,270,140,269,16,0,124,193,13,0,0,game351
unsolvable,389,219,388,7,0,212,389,9,0,0,game352
timed-out,42226118,13113688,42226079,4303540,0,8810148,12582917,95,39,60000,game353
unsolvable,2383012,1093483,2383011,265397,0,828086,1572869,35,0,3938,game354
timed-out,41785790,13496900,41785767,4172524,0,9324376,12582917,104,23,60000,game355
unsolvable,523459,178431,523458,44699,0,133732,196613,20,0,742,game356
solved,106592,35826,106497,11358,0,24468,24593,95,95,125,game357
unsolvable,8,8,7,0,0,8,53,3,0,0,game358
solved,95529,29054,95439,2645,0,26409,49157,90,90,129,game359
solved,25241058,9749740,25240933,5100798,0,4648942,6291469,125,125,31384,game36
unsolvable,78,49,77,0,0,49,53,8,0,0,game360
solved,578,310,492,81,0,229,389,86,86,0,game361
unsolvable,1924,1126,1923,26,0,1100,1543,13,0,3,game362
unsolvable,1,1,0,0,0,1,53,0,0,0,game363
solved,65497,25488,65404,5862,0,19626,24593,93,93,88,game364
solved,8749,4022,8667,966,0,3056,3079,82,82,11,game365
solved,258,200,169,60,0,140,193,89,89,0,game366
timed-out,48448253,11145769,48448205,4122851,0,7022918,12582917,89,48,60000,game367
timed-out,47148441,14512381,47148405,6155550,0,8356831,12582917,56,36,60000,game368
solved,374,177,292,66,0,111,193,82,82,0,game369
unsolvable,4015297,1517533,4015296,452615,0,1064918,1572869,32,0,5433,game37
unsolvable,192460,69355,192459,17360,0,51995,98317,40,0,230,game370
solved,11287,3551,11188,26,0,3525,6151,99,99,13,game371
solved,1605,729,1517,114,0,615,769,88,88,2,game372
unsolvable,225518,103800,225517,41952,0,61848,98317,59,0,242,game373
solved,2372,1031,2281,215,0,816,1543,91,91,3,game374
unsolvable,486727,216259,486726,68144,0,148115,196613,32,0,562,game375
timed-out,43845654,11763670,43845628,3930798,0,7832872,12582917,58,26,60000,game376
solved,128,100,42,35,0,65,97,86,86,0,game377
solved,235,162,138,35,0,127,193,97,97,0,game378
solved,1242,722,1153,35,0,687,769,89,89,2,game379
solved,6953,2048,6870,235,0,1813,3079,83,83,8,game38
unsolvable,13,13,12,0,0,13,53,2,0,0,game380
solved,121,91,30,38,0,53,53,91,91,0,game381
unsolvable,620,307,619,0,0,307,389,8,0,1,game382
unsolvable,305769,108952,305768,11632,0,97320,98317,25,0,434,game383
solved,9879,4355,9790,2837,0,1518,1543,89,89,9,game384
solved,116,87,30,26,0,61,97,86,86,0,game385
solved,666,237,578,45,0,192,193,88,88,0,game386
unsolvable,20,15,19,0,0,15,53,4,0,0,game387
solved,1088690,282388,1088604,61238,0,221150,393241,86,86,1218,game388
unsolvable,283,176,282,24,0,152,193,12,0,0,game389
unsolvable,22212386,7096149,22212385,3227950,0,3868199,6291469,64,0,28159,game39
solved,5922,2825,5843,281,0,2544,3079,79,79,9,game390
solved,120,87,35,26,0,61,97,85,85,0,game391
unsolvable,1,1,0,0,0,1,53,0,0,0,game392
solved,698,403,597,99,0,304,389,101,101,1,game393
solved,190,99,99,25,0,74,97,91,91,0,game394
unsolvable,1498,882,1497,0,0,882,1543,7,0,3,game395
unsolvable,20475672,7512346,20475671,2150683,0,5361663,6291469,56,0,32108,game396
solved,4095,2321,4003,952,0,1369,1543,92,92,5,game397
unsolvable,3276,1686,3275,336,0,1350,1543,12,0,5,game398
solved,141,108,39,38,0,70,97,102,102,0,game399
unsolvable,1140,582,1139,0,0,582,769,10,0,1,game4
unsolvable,501847,164030,501846,43394,0,120636,196613,30,0,676,game40
timed-out,41935438,15426658,41935414,7115484,0,8311174,12582917,68,24,60000,game400
solved,3044344,912828,3044258,55969,0,856859,1572869,86,86,4687,game401
unsolvable,290,180,289,1,0,179,193,11,0,0,game402
solved,585,352,492,32,0,320,389,93,93,1,game403
unsolvable,2,2,1,0,0,2,53,1,0,0,game404
unsolvable,73266,30278,73265,9337,0,20941,24593,39,0,99,game405
solved,60661,15901,60571,305,0,15596,24593,90,90,86,game406
unsolvable,1340,631,1339,110,0,521,769,11,0,1,game407
solved,960,304,863,72,0,232,389,97,97,1,game408
solved,7834091,2042992,7833999,778775,0,1264217,1572869,131,92,10076,game409
solved,420,157,319,37,0,120,193,101,101,0,game41
unsolvable,2,2,1,0,0,2,53,1,0,0,game410
unsolvable,131,119,130,0,0,119,193,12,0,0,game411
unsolvable,213,149,212,29,0,120,193,11,0,0,game412
solved,25826,11056,25734,2530,0,8526,12289,92,92,38,game413
solved,999,459,889,38,0,421,769,110,110,1,game414
unsolvable,14919750,5105049,14919749,2179651,0,2925398,3145739,50,0,17902,game415
timed-out,45452409,9151659,45452376,1848363,0,7303296,12582917,90,33,60000,game416
solved,258655,84666,258551,4021,0,80645,98317,104,104,414,game417
solved,161,120,74,35,0,85,97,87,87,0,game418
solved,3616,1695,3524,335,0,1360,1543,92,92,4,game419
solved,931,642,827,216,0,426,769,104,104,1,game42
solved,1529,721,1447,39,0,682,769,82,82,2,game420
solved,3305573,967082,3305483,207856,0,759226,786433,90,90,3912,game421
unsolvable,920472,352884,920471,4044,0,348840,393241,30,0,1409,game422
unsolvable,4,3,3,1,0,2,53,2,0,0,game423
unsolvable,300,182,299,0,0,182,193,8,0,0,game424
solved,10477335,2972758,10477248,608932,0,2363826,3145739,87,87,16500,game425
unsolvable,552,326,551,0,0,326,389,9,0,1,game426
solved,138,93,52,35,0,58,97,86,86,0,game427
unsolvable,216,141,215,23,0,118,193,7,0,0,game428
unsolvable,141574,62755,141573,19117,0,43638,49157,31,0,195,game429
solved,84114,32464,84026,13036,0,19428,24593,88,88,86,game43
unsolvable,952,527,951,61,0,466,769,19,0,1,game430
unsolvable,4201,2560,4200,415,0,2145,3079,16,0,7,game431
solved,1572,741,1428,75,0,666,769,144,144,2,game432
solved,11047,6655,10939,32,0,6623,12289,108,108,21,game433
unsolvable,32225463,9905938,32225462,2612126,0,7293812,12582917,45,0,49457,game434
unsolvable,6234122,2278167,6234121,824175,0,1453992,1572869,43,0,7647,game435
unsolvable,7,6,6,0,0,6,53,4,0,0,game436
solved,269790,114306,269700,81465,0,32841,49157,90,90,238,game437
solved,163,99,66,39,0,60,97,97,97,0,game438
timed-out,44196867,14680478,44196828,6077094,0,8603384,12582917,89,39,60000,game439
solved,148,85,64,25,0,60,97,84,84,0,game44
unsolvable,36090,14328,36089,424,0,13904,24593,14,0,59,game440
unsolvable,6506908,2261371,6506907,384119,0,1877252,3145739,33,0,10560,game441
solved,105,96,9,43,0,53,97,96,96,0,game442
timed-out,43469385,9653121,43469349,2062350,0,7590771,12582917,79,36,60000,game443
unsolvable,1700785,691946,1700784,31414,0,660532,786433,24,0,3071,game444
unsolvable,255,179,254,0,0,179,193,6,0,0,game445
solved,16941,9101,16845,761,0,8340,12289,96,96,29,game446
unsolvable,3063,1863,3062,40,0,1823,3079,13,0,6,game447
solved,192,103,105,31,0,72,97,87,87,0,game448
solved,129,102,48,33,0,69,97,81,81,0,game449
solved,107,82,25,30,0,52,53,82,82,0,game45
unsolvable,1163592,329884,1163591,14786,0,315098,393241,32,0,1436,game450
solved,98,76,22,29,0,47,53,76,76,0,game451
solved,31040,11650,30955,5223,0,6427,12289,85,85,29,game452
solved,889,233,755,44,0,189,193,134,134,0,game453
solved,508,305,417,61,0,244,389,91,91,0,game454
unsolvable,42,34,41,0,0,34,53,3,0,0,game455
timed-out,39510829,11628094,39510800,2932603,0,8695491,12582917,59,29,60000,game456
solved,11495908,3859530,11495818,1115774,0,2743756,3145739,90,90,14761,game457
solved,332942,110686,332850,11928,0,98758,196613,92,92,499,game458
unsolvable,2964938,1091041,2964937,293546,0,797495,1572869,27,0,4443,game459
solved,725,146,632,39,0,107,193,93,93,0,game46
solved,322,165,212,40,0,125,193,110,110,0,game460
solved,1598,876,1504,186,0,690,769,94,94,2,game461
solved,189,145,105,40,0,105,193,84,84,0,game462
unsolvable,2084,983,2083,332,0,651,769,12,0,2,game463
solved,63874,18370,63791,3010,0,15360,24593,83,83,76,game464
solved,151766,56300,151671,21960,0,34340,49157,95,95,173,game465
solved,264,204,168,46,0,158,193,96,96,0,game466
unsolvable,137,103,136,0,0,103,193,9,0,0,game467
solved,2040,1053,1951,61,0,992,1543,89,89,2,game468
unsolvable,147,112,146,25,0,87,97,9,0,0,game469
solved,137773,39050,137681,5577,0,33473,49157,92,92,158,game47
solved,1203346,400176,1203258,64487,0,335689,393241,88,88,1492,game470
solved,9531502,2470123,9531412,633563,0,1836560,3145739,106,90,13546,game471
solved,903,493,802,139,0,354,389,101,101,1,game472
unsolvable,4,4,3,1,0,3,53,2,0,0,game473
solved,265,187,179,45,0,142,193,86,86,0,game474
solved,173,92,81,40,0,52,53,92,92,0,game475
solved,1064,595,973,75,0,520,769,91,91,1,game476
unsolvable,6580855,2444914,6580854,747514,0,1697400,3145739,42,0,9646,game477
solved,165,96,70,44,0,52,53,95,95,0,game478
unsolvable,12022449,3207851,12022448,670134,0,2537717,3145739,32,0,17442,game479
solved,975,319,888,53,0,266,389,87,87,2,game48
unsolvable,85,63,84,24,0,39,53,8,0,0,game480
solved,16156,6221,16022,2280,0,3941,6151,134,134,20,game481
unsolvable,22963687,7275801,22963686,1497609,0,5778192,6291469,44,0,34266,game482
unsolvable,2556,1446,2555,594,0,852,1543,10,0,3,game483
solved,106,93,16,39,0,54,97,90,90,0,game484
solved,304,212,215,41,0,171,193,89,89,0,game485
solved,108,99,24,33,0,66,97,84,84,0,game486
unsolvable,534391,200265,534390,83158,0,117107,196613,33,0,611,game487
solved,11771,4714,11686,715,0,3999,6151,85,85,13,game488
