Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,6730,1526,6645,33,0,1493,1543,85,85,8,game332
solved,151,90,61,31,0,59,97,90,90,0,game333
solved,301,138,217,37,0,101,193,84,84,0,game334
solved,468,107,382,31,0,76,97,86,86,0,game335
solved,1931,992,1836,183,0,809,1543,95,95,3,game336
solved,137,102,57,38,0,64,97,80,80,0,game337
solved,16868,7794,16773,39,0,7755,12289,95,95,32,game338
solved,864,302,766,82,0,220,389,98,98,1,game339
solved,93,80,13,33,0,47,53,80,80,0,game34
solved,277,97,196,35,0,62,97,81,81,0,game340
solved,20317,4243,20217,31,0,4212,6151,100,100,35,game341
solved,180,79,101,24,0,55,97,79,79,0,game342
solved,109,84,25,38,0,46,53,84,84,0,game343
timed-out,44697537,11659231,44697494,4538024,0,7121207,12582917,78,43,60000,game344
solved,1170,427,1073,24,0,403,769,97,97,4,game345
solved,2486,578,2395,250,0,328,389,91,91,2,game346
solved,115721,37719,115641,5711,0,32008,49157,80,80,204,game347
solved,465,289,375,38,0,251,389,90,90,0,game348
solved,146,71,75,27,0,44,53,71,71,0,game349
solved,868,337,770,135,0,202,389,98,98,1,game35
solved,109,70,39,25,0,45,53,70,70,0,game350
solved,137,80,58,35,0,45,53,79,79,0,game351
solved,111,87,33,33,0,54,97,78,78,0,game352
solved,3732889,769608,3732807,268136,0,501472,786433,82,82,4976,game353
solved,1342,335,1267,46,0,289,389,75,75,1,game354
solved,147,77,70,25,0,52,53,77,77,0,game355
solved,1793,720,1708,288,0,432,769,85,85,2,game356
solved,108,82,29,27,0,55,97,79,79,0,game357
solved,8150423,2580721,8150337,920483,0,1660238,3145739,86,86,13575,game358
solved,185,84,101,33,0,51,53,84,84,0,game359
solved,386,104,304,31,0,73,97,82,82,0,game36
solved,483,274,393,150,0,124,193,90,90,1,game360
solved,161,88,73,30,0,58,97,88,88,0,game361
solved,134,102,52,41,0,61,97,82,82,0,game362
solved,4460,1241,4373,620,0,621,769,87,87,3,game363
solved,101,91,13,43,0,48,53,88,88,0,game364
solved,624,219,529,44,0,175,193,95,95,1,game365
solved,138,85,56,37,0,48,53,82,82,0,game366
solved,839,196,748,41,0,155,193,91,91,1,game367
unsolvable,68145,28580,68144,4606,0,23974,24593,25,0,147,game368
solved,776,335,688,91,0,244,389,88,88,2,game369
timed-out,42166070,12243547,42166052,4100643,0,8142904,12582917,40,18,60000,game37
solved,900,298,814,34,0,264,389,86,86,2,game370
solved,442,224,361,38,0,186,193,81,81,0,game371
solved,22059,3283,21970,418,0,2865,3079,89,89,32,game372
solved,113,76,37,33,0,43,53,76,76,0,game373
solved,20366,1860,20282,38,0,1822,3079,84,84,28,game374
solved,890,265,787,35,0,230,389,103,103,1,game375
solved,184956,67150,184867,14575,0,52575,98317,89,89,329,game376
solved,138,78,60,32,0,46,53,78,78,0,game377
solved,154,101,72,30,0,71,97,82,82,0,game378
solved,35860,10124,35779,34,0,10090,12289,81,81,58,game379
solved,131,97,50,35,0,62,97,81,81,0,game38
solved,230,94,144,35,0,59,97,86,86,1,game380
solved,567190,97331,567103,37247,0,60084,98317,87,87,662,game381
solved,113,79,34,35,0,44,53,79,79,0,game382
solved,264390,88586,264299,44124,0,44462,49157,91,91,352,game383
solved,456,285,372,43,0,242,389,84,84,1,game384
solved,3055,481,2933,26,0,455,769,122,122,3,game385
solved,102,81,21,31,0,50,53,81,81,0,game386
solved,105,82,24,33,0,49,53,81,81,0,game387
solved,126,81,45,36,0,45,53,81,81,0,game388
solved,1635,366,1553,34,0,332,389,82,82,2,game389
solved,204,95,113,40,0,55,97,91,91,0,game39
solved,94,85,10,37,0,48,53,84,84,0,game390
solved,395,168,315,52,0,116,193,80,80,1,game391
solved,16663,4350,16573,24,0,4326,6151,90,90,39,game392
solved,211,84,134,29,0,55,97,77,77,0,game393
solved,922101,128256,922014,17376,0,110880,196613,121,87,1295,game394
solved,317,135,240,49,0,86,97,77,77,0,game395
solved,3146,790,3047,178,0,612,769,99,99,6,game396
solved,160,94,78,39,0,55,97,82,82,0,game397
solved,1667318,390408,1667231,184037,0,206371,393241,87,87,2383,game398
solved,144,100,56,34,0,66,97,88,88,0,game399
solved,117,78,39,31,0,47,53,78,78,0,game4
solved,190,122,109,46,0,76,97,81,81,0,game40
solved,428779,113644,428689,30362,0,83282,98317,105,90,666,game400
solved,4717,1525,4642,656,0,869,1543,75,75,6,game401
solved,136,81,55,34,0,47,53,81,81,0,game402
solved,109,75,34,34,0,41,53,75,75,0,game403
solved,1568,751,1480,33,0,718,769,88,88,3,game404
solved,5906,1199,5801,135,0,1064,1543,105,105,13,game405
solved,386,108,289,45,0,63,97,97,97,0,game406
solved,486,289,404,39,0,250,389,82,82,1,game407
unsolvable,42591606,15749827,42591605,8191680,0,7558147,12582917,68,0,56946,game408
solved,115,87,28,38,0,49,53,87,87,0,game409
solved,128,82,48,33,0,49,53,80,80,0,game41
solved,63480,19278,63404,2660,0,16618,24593,76,76,87,game410
solved,167,86,86,37,0,49,53,81,81,0,game411
solved,213,127,128,39,0,88,97,85,85,0,game412
solved,941,333,835,32,0,301,389,106,106,1,game413
solved,146,90,56,30,0,60,97,90,90,0,game414
solved,32544,6639,32464,2358,0,4281,6151,80,80,54,game415
solved,95,70,25,30,0,40,53,70,70,0,game416
solved,95354,15210,95249,912,0,14298,24593,121,105,131,game417
solved,531914,157962,531832,22087,0,135875,196613,82,82,897,game418
solved,15852,2202,15773,30,0,2172,3079,79,79,17,game419
solved,158,85,73,41,0,44,53,85,85,0,game42
solved,229,91,141,31,0,60,97,88,88,0,game420
solved,94,76,20,26,0,50,53,74,74,0,game421
solved,90,81,12,27,0,54,97,78,78,0,game422
solved,248,99,170,36,0,63,97,78,78,0,game423
unsolvable,4099659,1501282,4099658,718647,0,782635,786433,40,0,5968,game424
unsolvable,40,28,39,12,0,16,53,13,0,0,game425
solved,2210,716,2137,86,0,630,769,73,73,3,game426
solved,174,85,90,35,0,50,53,84,84,0,game427
solved,640,140,521,29,0,111,193,119,119,0,game428
