Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,716,432,715,16,0,416,769,19,0,1,game379
unsolvable,6,5,5,2,0,3,53,3,0,0,game38
solved,8085,3450,8000,35,0,3415,6151,85,85,13,game380
solved,1400561,337576,1400468,64933,0,272643,393241,94,93,1769,game381
solved,598,366,504,76,0,290,389,94,94,1,game382
unsolvable,239,163,238,19,0,144,193,11,0,0,game383
solved,29928,14557,29840,1273,0,13284,24593,88,88,48,game384
solved,33461,10986,33378,909,0,10077,12289,83,83,46,game385
solved,782694,336329,782599,228486,0,107843,196613,96,95,676,game386
solved,1072,205,896,46,0,159,193,176,176,0,game387
solved,1516,531,1435,34,0,497,769,81,81,1,game388
solved,390,182,291,75,0,107,193,99,99,0,game389
solved,1892413,633162,1892327,144989,0,488173,786433,86,86,2243,game39
unsolvable,154141,67031,154140,3120,0,63911,98317,22,0,229,game390
solved,524,193,431,40,0,153,193,93,93,0,game391
solved,534,305,438,35,0,270,389,96,96,0,game392
unsolvable,214,149,213,33,0,116,193,6,0,0,game393
solved,14921,5133,14827,1785,0,3348,6151,94,94,14,game394
solved,1577150,403195,1577059,4171,0,399024,786433,91,91,2030,game395
solved,1830,1102,1736,107,0,995,1543,94,94,4,game396
solved,491,280,406,38,0,242,389,85,85,0,game397
unsolvable,1029495,285975,1029494,7512,0,278463,393241,24,0,1397,game398
unsolvable,2,2,1,1,0,1,53,1,0,0,game399
unsolvable,21,17,20,0,0,17,53,4,0,0,game4
solved,114,93,23,34,0,59,97,91,91,0,game40
unsolvable,28533749,12049533,28533748,7628428,0,4421105,6291469,114,0,30798,game400
solved,571,184,482,50,0,134,193,89,89,1,game401
unsolvable,14,14,13,0,0,14,53,4,0,0,game402
solved,84036,41776,83942,9546,0,32230,49157,94,94,122,game403
solved,428309,100000,428216,14199,0,85801,98317,93,93,1936,game404
unsolvable,1223,607,1222,16,0,591,769,17,0,2,game405
solved,106,89,17,37,0,52,53,89,89,0,game406
unsolvable,3337138,1040511,3337137,305577,0,734934,786433,64,0,4371,game407
unsolvable,155,87,154,0,0,87,97,5,0,0,game408
unsolvable,990,448,989,18,0,430,769,11,0,2,game409
unsolvable,1943,1056,1942,92,0,964,1543,14,0,3,game41
unsolvable,1958,1036,1957,312,0,724,769,10,0,4,game410
solved,118,102,30,38,0,64,97,88,88,0,game411
unsolvable,187,157,186,0,0,157,193,16,0,0,game412
solved,867,197,773,25,0,172,193,94,94,0,game413
unsolvable,1166034,431433,1166033,32406,0,399027,786433,31,0,1748,game414
unsolvable,49,34,48,0,0,34,53,5,0,0,game415
unsolvable,10057,5831,10056,0,0,5831,6151,11,0,22,game416
solved,1096,372,1004,42,0,330,389,92,92,1,game417
unsolvable,3,3,2,1,0,2,53,2,0,0,game418
solved,9206,3062,9115,58,0,3004,3079,91,91,12,game419
unsolvable,11213,5279,11212,316,0,4963,6151,13,0,17,game42
unsolvable,11234,5088,11233,1750,0,3338,6151,19,0,14,game420
solved,100139,28638,100053,3823,0,24815,49157,86,86,123,game421
solved,1172793,391149,1172685,10949,0,380200,393241,108,108,1563,game422
solved,32098,10158,32001,750,0,9408,12289,97,97,36,game423
unsolvable,3368940,1293075,3368939,376645,0,916430,1572869,59,0,5074,game424
solved,103,82,21,34,0,48,53,82,82,0,game425
solved,109746,43686,109652,46,0,43640,49157,94,94,185,game426
solved,1426,723,1335,33,0,690,769,91,91,2,game427
solved,191,98,107,33,0,65,97,84,84,0,game428
unsolvable,1,1,0,0,0,1,53,0,0,0,game429
solved,14376,6394,14268,25,0,6369,12289,108,108,23,game43
solved,10396,2989,10293,1190,0,1799,3079,103,103,11,game430
unsolvable,1773011,444890,1773010,173445,0,271445,393241,50,0,1660,game431
solved,318,225,230,73,0,152,193,88,88,1,game432
